id,task,task_label,brief
602,602,Count to 13,"Count to 13 as a group, each player taking it in turns to say a number.
Every time you say an odd number, you must also squat.
Every time you say an even number, you must also jump.
If you make a mistake, you are out.
If you reach 13, or someone is eliminated, other rules will be introduced.
If the Taskmaster thinks you have hesitated for too long, you will be eliminated."
603,603,The object you would most like to show to an alien,Bring in the object you would most like to show to an alien.
604,604,Tie a ribbon round the maypole or hit it with a ping pong ball,"Either tie a ribbon round the maypole or strike it with a ping pong ball.
You must be properly blindfolded at all times, and must not step beyond the rope.
Fastest wins.
Your time starts when Alex gives you a thumbs-up."
605,605,Recreate the coolest photo from your phone,"Reveal the coolest photo in your phone.
You have five minutes.
Your time starts now.

Recreate the coolest photo in your phone.
Most accurate recreation wins.
You have 15 minutes.
Your time starts now."
606,606,Score an exercise ball hat-trick using a buggy,"Score a goal with each of the exercise balls.
You may only move the exercise balls on the pitch when driving the buggy.
Each person must score a goal using their own personal wheels to drive the buggy, and no-one may score two goals in a row.
Fastest hat-trick wins.
Your time started when you broke the seal."
607,607,Draw and describe the object under your table,"Identify the object under your table and draw it on the canvas on the underside of your table.
You must also write down three words to describe your object.
Most accurate drawing wins.
You must also stare menacingly at the Taskmaster at all times.
You have 100 seconds."
608,608,The item that sounds funniest when you say its name over and over again,Bring in the item that sounds funniest when you say its name over and over again.
609,609,Recreate a historical moment using traffic cones,"Accurately and emotionally recreate a great moment from history using these two traffic cones.
Most accurate and emotional recreation wins.
You've got 30 minutes.
Your time starts now."
610,610,Make all the things happen at the same time,"Make all of these things happen at the same time.
The monsters must be squatting.
The robot must be walking.
The marble must be rolling.
The cradle must be clicking.
The sand must be falling.
The fidget spinner must be spinning.
The candles must be out.
You must applaud when you think you've finished.
Fastest wins.
Your time starts now."
611,611,Enable Alex to bite his duck,"Enable Alex to bite his duck.
You may not encroach upon the decking.
Fastest wins.
Also, the person who gets Alex the least wet gets a bonus point.
Your time starts now."
612,612,Face leg or other leg?,"As a team, put one of your faces and one of your legs through the hole.
The Taskmaster will guess whether the leg belongs to the face or the other contestant.
Most wrong guesses after three rounds wins."
613,613,The best night-time thing,Bring in the best night-time thing.
614,614,Guess Shoe,"Display the shoe Alex is thinking of.
All the other shoes must be out of sight at the end of your attempt.
You may only ask yes or no questions and you must say ""I have to find the shoe"" / shout ""No way!"" / say ""Okay, just one more thing"" / laugh with disbelief / get increasingly exasperated after every answer.
Fewest questions wins.
Your time starts now."
615,615,Give Alex the best stag minute,"Give Alex the best stag minute.
By the end of the stag minute, Alex must be ready to get married.
You have 29 minutes to prepare for the stag minute.
Your time starts now."
616,616,Make a stirring speech out of the bunting,"Make a stirring speech for the Taskmaster out of this bunting.
Longest speech that is deemed to be stirring by the Taskmaster wins.
You may only use the letters currently on the bunting.
You have 15 minutes.
Your time starts now."
617,617,Knock over your opponents' dolls with a tyre,"Taking it in turns, roll a tyre down the Knappett.
You must roll from on the stage.
If your tyre does not pass the line, you may not roll any further tyres.
If both your dolls topple, you may not roll any further tyres.
Last doll standing wins."
618,618,Turn over the most beer mats,"Turn over the most beer mats, out of 91, in 30 seconds.
Your time starts now."
619,619,The most surprising thing from your wardrobe,Bring in the most surprising thing from your wardrobe.
620,620,Make a key difficult to retrieve,"Make this key difficult but possible to retrieve.
You have 10 minutes.
Your time starts now."
621,621,High-five Alex,"Give Alex a high five.
The third fastest high fiver wins.
If you are the first or the last you will receive no points.
You must high five Alex in the next 10 minutes.
Your time starts now."
622,622,Raise the water level to the top of the fish tank,"Make the water level rise to the top of the big fish tank.
You have 15 minutes to gather six things, then you must put all six things in the big fish tank.
You may not put anything in the big fish tank before the 15 minutes are up and, if any water leaves the big fish tank at any point, you are disqualified.
Closest water level to the top of the big fish tank wins.
No fish tanks may leave this room.
Your time starts now."
